AssetInt Timeline Export File
Start Time,Shift ID,Production State,Reason,Duration,Job Name
2026-02-06 17:06:43,Afternoon,Uptime,,00:00:07,42834.xml
2026-02-06 17:03:02,Afternoon,Unscheduled Downtime,RobopackerFault: 157,00:03:41,42834.xml
2026-02-06 17:02:46,Afternoon,Uptime,,00:00:17,42834.xml
2026-02-06 17:02:36,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:00:09,42834.xml
2026-02-06 17:02:25,Afternoon,Uptime,,00:00:11,42834.xml
2026-02-06 16:58:18,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:04:07,42834.xml
2026-02-06 16:58:06,Afternoon,Uptime,,00:00:12,42834.xml
1970-01-01 00:00:00,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,01:11:56,42834.xml
2026-02-06 15:35:51,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:10:17,21679.xml
2026-02-06 15:27:42,Afternoon,Uptime,,00:08:09,21679.xml
2026-02-06 15:27:28,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:00:14,21679.xml
2026-02-06 15:26:27,Afternoon,Uptime,,00:01:01,21679.xml
2026-02-06 15:26:10,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:00:17,21679.xml
2026-02-06 15:25:57,Afternoon,Uptime,,00:00:12,21679.xml
2026-02-06 15:25:55,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:00:02,21679.xml
2026-02-06 15:25:43,Afternoon,Uptime,,00:00:12,21679.xml
2026-02-06 15:25:32,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:00:11,21679.xml
2026-02-06 15:25:17,Afternoon,Uptime,,00:00:15,21679.xml
2026-02-06 15:23:41,Afternoon,Unscheduled Downtime,ReadyNoProductFeed,00:01:35,21679.xml
